num_step,brute_force,approximate
1,,
2,,
3,,
4,221.75905560619236,221.75905560619236
5,133.012614598403,133.012614598403
6,109.2792037503751,109.52823732413387
7,101.71618336814058,101.96521694189936
8,82.59848064572122,82.84751421948
9,63.53393178286102,63.7829653566198
10,54.270552678942785,54.51958625270156
11,45.64281150230096,45.64281150230096
12,37.53170396589907,37.53170396589907
13,36.16187129050502,36.16187129050502
14,34.96622060722471,34.96622060722471
15,31.65952788083134,31.917511340837052
16,23.556442758474667,23.81442621848037
17,21.549041628871272,21.549041628871272
18,21.549041628871272,21.549041628871272
19,19.247391983519748,19.247391983519748
20,17.11167117420984,17.11167117420984
21,16.639975667826302,16.639975667826302
22,15.108469336972473,15.31565290495035
23,13.51872856458528,13.725912132563156
24,13.51872856458528,13.725912132563156
25,13.51872856458528,13.725912132563156
26,12.549902158881968,12.757085726859845
27,12.392590462437699,12.392590462437699
28,12.390980316334185,12.390980316334185
29,10.997863139905558,10.997863139905558
30,7.930425073274402,7.930425073274402
31,7.930425073274402,7.930425073274402
32,6.6129102855402335,6.6129102855402335
33,6.6129102855402335,6.6129102855402335
34,6.6129102855402335,6.6129102855402335
35,6.6129102855402335,6.6129102855402335
36,5.602590212307893,5.602590212307893
37,5.236145635212643,5.376934811498026
38,5.236145635212643,5.376934811498026
39,5.236145635212643,5.376934811498026
40,5.236145635212643,5.376934811498026
41,4.579383477574997,4.720172653860381
42,3.7863149074510134,3.7863149074510134
43,3.7863149074510134,3.7863149074510134
44,3.7863149074510134,3.7863149074510134
45,3.7863149074510134,3.7863149074510134
46,3.7863149074510134,3.7863149074510134
47,3.7862607010141787,3.7862607010141787
48,3.4635719524226074,3.4635719524226074
49,3.4635719524226074,3.4635719524226074
50,3.4635719524226074,3.4635719524226074
51,3.4635719524226074,3.4635719524226074
52,3.4635719524226074,3.4635719524226074
53,3.4635719524226074,3.4635719524226074
54,3.4635719524226074,3.4635719524226074
55,3.4635719524226074,3.4635719524226074
56,3.4635719524226074,3.4635719524226074
57,3.448202297322864,3.448202297322864
58,2.9418118180670643,2.9418118180670643
59,2.9418118180670643,2.9418118180670643
60,2.733420491634632,2.733420491634632
61,2.733420491634632,2.733420491634632
62,2.733420491634632,2.733420491634632
63,2.5361734392537363,2.5361734392537363
64,2.5250458315373114,2.5250458315373114
65,2.5250458315373114,2.5250458315373114
66,2.5250458315373114,2.5250458315373114
67,2.5250458315373114,2.5250458315373114
68,2.5250458315373114,2.5250458315373114
69,2.5250458315373114,2.5250458315373114
70,2.5250458315373114,2.5250458315373114
71,2.5250458315373114,2.5250458315373114
72,2.39974846940206,2.39974846940206
73,2.323994624148528,2.323994624148528
74,2.323994624148528,2.323994624148528
75,2.323994624148528,2.323994624148528
76,2.323994624148528,2.323994624148528
77,2.323994624148528,2.323994624148528
78,2.323994624148528,2.323994624148528
79,2.323994624148528,2.323994624148528
80,2.323994624148528,2.323994624148528
81,2.323994624148528,2.323994624148528
82,2.038044829317028,2.038044829317028
83,2.038044829317028,2.038044829317028
84,2.038044829317028,2.038044829317028
85,1.8285320925665818,1.8285320925665818
86,1.8285320925665818,1.8285320925665818
87,1.6004853196402096,1.6004853196402096
88,1.6004853196402096,1.6004853196402096
89,1.6004853196402096,1.6004853196402096
90,1.6004853196402096,1.6004853196402096
91,1.6004853196402096,1.6004853196402096
92,1.6004853196402096,1.6004853196402096
93,1.6004853196402096,1.6004853196402096
94,1.6004853196402096,1.6004853196402096
95,1.6004853196402096,1.6004853196402096
96,1.6004853196402096,1.6004853196402096
97,1.6004853196402096,1.6004853196402096
